pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
29597,4,36613794,81268988,181043401,99774413,3820489
29603,10,86070639,187917459,196261536,8344077,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
29632,0,8154489,17066974,38789288,21722314,3686741
29633,1,20384510,40253161,47868654,7615493,1874510
29634,2,28620600,51431677,69472238,18040561,4982875
29635,3,36600056,72354727,84251770,11897043,3156272
29636,4,45288361,88162882,104592065,16429183,3820489
29639,7,67891184,164692161,170811095,6118934,1759282
29640,8,77318130,172718600,189844799,17126199,4303811
29641,9,89258804,192284774,203452953,11168179,4050021
29642,10,98462438,205062376,212028345,6965969,3691004
29637,5,56495804,108442275,220541159,112098884,3559242
29638,6,63475005,136224018,226555610,90331592,2608430
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
29688,0,8070959,16116573,40604881,24488308,3686741
29689,1,16985754,44239701,51390051,7150350,1874510
29691,3,33369198,79114245,91264672,12150427,3156272
29692,4,41699636,96047961,111412484,15364523,3820489
29693,5,50460678,115468306,135615560,20147254,3559242
29690,2,28049298,68407018,141016805,72609787,4982875
29694,6,55693010,144353263,150799054,6445791,2608430
29695,7,80400315,152570787,156989226,4418439,1759282
29696,8,88664544,159993798,166780135,6786337,4303811
29697,9,101691948,168685964,178588899,9902935,4050021
29698,10,121724053,180641673,190085891,9444218,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
29754,0,8067327,19584612,30348550,10763938,3686741
29755,1,23587431,33482468,39537427,6054959,1874510
29756,2,34620804,41010240,50074800,9064560,4982875
29757,3,39009021,52272286,59288820,7016534,3156272
29758,4,45586723,60986802,78290118,17303316,3820489
29759,5,54940019,81669318,92667364,10998046,3559242
29760,6,60770192,98187619,108740077,10552458,2608430
29761,7,65261519,111200725,114251951,3051226,1759282
29762,8,73393050,117296752,134036030,16739278,4303811
29763,9,85497432,141313491,152195600,10882109,4050021
29764,10,94435669,154091931,162122002,8030071,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
32711,0,8069003,28636321,41040970,12404649,3686741
32712,1,18972040,44264006,49076628,4812622,1874510
32713,2,26684041,51938445,73290320,21351875,4982875
32714,3,30356245,76168619,103736648,27568029,3156272
32716,5,46832284,121376879,215189361,93812482,3559242
32715,4,37597160,109031455,121091368,12059913,3820489
32717,6,54377759,143191104,151301352,8110248,2608430
32718,7,57942991,151572337,173382092,21809755,1759282
32719,8,64901468,173738282,185103693,11365411,4303811
32720,9,78544872,185299528,195177599,9878071,4050021
32722,10,86222893,197098793,208689652,11590859,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
36297,0,8049727,19854199,31667712,11813513,3686741
36298,1,18132268,34606633,40311269,5704636,1874510
36299,2,27047495,44351447,56937683,12586236,4982875
36300,3,33114696,66872186,75617711,8745525,3156272
36301,4,41380043,76856137,90870488,14014351,3820489
36302,5,50434698,92118691,107683239,15564548,3559242
36303,6,58203385,110924433,120036206,9111773,2608430
36304,7,64789672,126871991,134473795,7601804,1759282
36307,10,92503021,199219175,210468090,11248915,3691004
36305,8,72633736,139501808,211908497,72406689,4303811
36306,9,84801254,164308313,227170772,62862459,4050021
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
36580,0,8041905,24222073,37475434,13253361,3686741
36581,1,27664206,40203713,45415828,5212115,1874510
36583,3,40310862,64145583,73300378,9154795,3156272
36584,4,48648285,76876810,89210221,12333411,3820489
36582,2,34909109,47719194,97202857,49483663,4982875
36585,5,57675842,101330756,117505158,16174402,3559242
36586,6,66542993,120795241,128943483,8148242,2608430
36587,7,73400263,132025160,136651167,4626007,1759282
36588,8,82600645,154130483,173270625,19140142,4303811
36589,9,94220608,177025013,191351136,14326123,4050021
36590,10,105070540,193374019,197941359,4567340,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
36671,0,8084089,51362953,64552618,13189665,3686741
36672,1,18100141,67711120,83302487,15591367,1874510
36674,3,56760439,111429525,126990442,15560917,3156272
36675,4,65609938,129013045,146371117,17358072,3820489
36676,5,74628555,148245657,155206598,6960941,3559242
36677,6,82996480,157029455,164336250,7306795,2608430
36678,7,89048342,167173482,171687463,4513981,1759282
36679,8,98252355,174334168,186987732,12653564,4303811
36673,2,49056438,85270614,111150998,25880384,4982875
36680,9,113944623,191721853,202788623,11066770,4050021
36682,10,123512269,204928560,215914313,10985753,3691004
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
37657,0,8048051,20552333,39308627,18756294,3686741
37658,1,17399773,54658064,60030814,5372750,1874510
37659,2,24297983,64232745,83593306,19360561,4982875
37660,3,28857172,87023071,102889054,15865983,3156272
37661,4,37294607,104656039,118972383,14316344,3820489
37662,5,55509644,120925425,132580258,11654833,3559242
37663,6,61997163,136099420,150944603,14845183,2608430
37664,7,67815754,154951258,163012059,8060801,1759282
37666,9,89021343,191494170,206265042,14770872,4050021
37667,10,97032367,208394083,219711164,11317081,3691004
37665,8,76021317,164758649,223825933,59067284,4303811
